no.,description,date,time,location,category,size,shape,colour,size,remarks,,,,,,,,,,,,,,,
40,Tegamisha Pop-Up Stamp 1 - sticky note,19 Feb 2026,12:28 PM,Huashan 1914 Creative Park,retail shops,small,rectangle,black,3.0 x 4.0,,,,,,,,,,,,,,,,
41,Tegamisha Pop-Up Stamp 2 - lucky bottle,19 Feb 2026,12:28 PM,Huashan 1914 Creative Park,retail shops,mini,odd,black,2.7 x 3.5,,,,,,,,,,,,,,,,
42,Tegamisha Pop-Up Stamp 3 - postage,19 Feb 2026,12:28 PM,Huashan 1914 Creative Park,retail shops,mini,odd,black,4.3 x 2.3,,,,,,,,,,,,,,,,
43,Tegamisha Pop-Up Stamp 4,19 Feb 2026,12:28 PM,Huashan 1914 Creative Park,retail shops,mini,square,black,2.6 x 2.6,,,,,,,,,,,,,,,,
44,Tegamisha Pop-Up Stamp 5 - cup of squished bears,19 Feb 2026,12:28 PM,Huashan 1914 Creative Park,retail shops,mini,odd,black,2.0 x 3.0,,,,,,,,,,,,,,,,
45,Tegamisha Pop-Up Stamp 6 - 3 squished bears,19 Feb 2026,12:28 PM,Huashan 1914 Creative Park,retail shops,mini,odd,black,3.5 x 1.4,,,,,,,,,,,,,,,,
46,Tegamisha Pop-Up Stamp 7 - pig ufo,19 Feb 2026,12:28 PM,Huashan 1914 Creative Park,retail shops,mini,odd,black,2.7 x 2.8,,,,,,,,,,,,,,,,
47,Tegamisha Pop-Up Stamp 8 - bear bottle,19 Feb 2026,12:28 PM,Huashan 1914 Creative Park,retail shops,mini,odd,black,2.6 x 2.2,,,,,,,,,,,,,,,,
48,Tegamisha Pop-Up Stamp 9 - good,19 Feb 2026,12:28 PM,Huashan 1914 Creative Park,retail shops,mini,odd,black,2.5 x 1.0,,,,,,,,,,,,,,,,
49,Tegamisha Pop-Up Stamp 10 - praying cat,19 Feb 2026,12:28 PM,Huashan 1914 Creative Park,retail shops,mini,odd,black,2.2 x 3.3,,,,,,,,,,,,,,,,
50,Tegamisha Pop-Up Stamp 11 - bowl of food,19 Feb 2026,12:28 PM,Huashan 1914 Creative Park,retail shops,small,odd,black,3.3 x 4.4,,,,,,,,,,,,,,,,
51,Taipei Metro Stamp,19 Feb 2026,3:09 PM,Songjiang Nanjing Station,metro,large,oval,blue,7.5 x 5.0,,,,,,,,,,,,,,,,
52,Taipei Metro Stamp,19 Feb 2026,3:27 PM,Zhongshan Station,metro,large,oval,black,7.5 x 5.0,,,,,,,,,,,,,,,,
53,Local Train Stamp 1,20 Feb 2026,10:52 AM,Keelung Station,metro,medium,circle,blue,5.0 x 5.0,,,,,,,,,,,,,,,,
54,Local Train Stamp 2,20 Feb 2026,10:52 AM,Keelung Station,metro,mini,square,blue,1.8 x 1.8,,,,,,,,,,,,,,,,
55,Keelung Starbucks Stamp 1,20 Feb 2026,11:27 AM,Keelung Starbucks,f&b,medium,rectangle,blue,5.0 x 4.5,,,,,,,,,,,,,,,,
56,Keelung Starbucks Stamp 2,20 Feb 2026,11:27 AM,Keelung Starbucks,f&b,small,odd,blue,5.5 x 2.4,,,,,,,,,,,,,,,,
57,Heping Geopark Animal Stamp 1,20 Feb 2026,2:59 PM,Heping Geo Park,nat. parks,small,circle,blue,4.0 x 4.0,,,,,,,,,,,,,,,,
58,Heping Geopark Animal Stamp 2,20 Feb 2026,2:59 PM,Heping Geo Park,nat. parks,small,circle,blue,4.0 x 4.0,,,,,,,,,,,,,,,,
59,Heping Geopark Animal Stamp 3,20 Feb 2026,2:59 PM,Heping Geo Park,nat. parks,small,circle,blue,4.0 x 4.0,,,,,,,,,,,,,,,,
60,Heping Geopark Animal Stamp 4,20 Feb 2026,2:59 PM,Heping Geo Park,nat. parks,small,circle,blue,4.0 x 4.0,,,,,,,,,,,,,,,,
61,Heping Geopark Animal Stamp 5,20 Feb 2026,2:59 PM,Heping Geo Park,nat. parks,small,circle,blue,4.0 x 4.0,,,,,,,,,,,,,,,,
62,Heping Geopark Animal Stamp 6,20 Feb 2026,2:59 PM,Heping Geo Park,nat. parks,small,circle,blue,4.0 x 4.0,,,,,,,,,,,,,,,,
63,Heping Geopark Animal Stamp 7,20 Feb 2026,2:59 PM,Heping Geo Park,nat. parks,small,circle,blue,4.0 x 4.0,,,,,,,,,,,,,,,,
64,Heping Geopark Animal Stamp 8,20 Feb 2026,2:59 PM,Heping Geo Park,nat. parks,small,circle,blue,4.0 x 4.0,,,,,,,,,,,,,,,,
65,Heping Geopark Animal Stamp 9,20 Feb 2026,2:59 PM,Heping Geo Park,nat. parks,small,circle,blue,4.0 x 4.0,,,,,,,,,,,,,,,,
66,Heping Geopark Animal Stamp 10,20 Feb 2026,2:59 PM,Heping Geo Park,nat. parks,small,circle,blue,4.0 x 4.0,,,,,,,,,,,,,,,,
67,Heping Geopark Animal Stamp 11,20 Feb 2026,2:59 PM,Heping Geo Park,nat. parks,small,circle,blue,4.0 x 4.0,,,,,,,,,,,,,,,,
68,Heping Geopark Stamp 1,20 Feb 2026,3:00 PM,Heping Geo Park,nat. parks,mini,odd,black,3.5 x 2.0,,,,,,,,,,,,,,,,
69,Heping Geopark Stamp 2,20 Feb 2026,3:00 PM,Heping Geo Park,nat. parks,mini,odd,black,3.5 x 2.0,,,,,,,,,,,,,,,,
70,Heping Geopark Stamp 3,20 Feb 2026,3:00 PM,Heping Geo Park,nat. parks,mini,circle,black,2.4 x 2.4,,,,,,,,,,,,,,,,
71,Heping Geopark Stamp 4,20 Feb 2026,3:00 PM,Heping Geo Park,nat. parks,mini,circle,black,2.4 x 2.4,,,,,,,,,,,,,,,,
